Team_ID,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1,37,27.4,5.15,47,1788,1598,242,425,94,10,52,229,39,7,146,361,0.266,0.331,0.435,0.765,110,695,36,16,11,16,4,312
2,36,27.9,5.22,46,1752,1562,240,402,81,3,77,231,30,5,162,409,0.257,0.334,0.461,0.795,113,720,41,21,0,7,5,307
3,33,27.2,5.11,47,1801,1588,240,403,85,8,58,232,43,9,176,383,0.254,0.33,0.427,0.757,110,678,39,13,9,15,5,319
4,38,28.7,5.49,47,1807,1614,258,433,105,3,58,248,30,4,152,367,0.268,0.338,0.445,0.783,110,718,40,24,4,11,3,316
5,36,28.7,4.78,46,1792,1586,220,416,76,6,58,212,40,12,173,420,0.262,0.338,0.427,0.766,110,678,29,16,2,13,4,350
6,40,27.9,4.23,48,1797,1640,203,399,86,4,51,200,27,4,120,397,0.243,0.302,0.394,0.696,90,646,33,21,5,8,8,316
7,39,27.7,4.24,46,1721,1521,195,370,75,7,35,187,33,15,159,424,0.243,0.322,0.371,0.692,83,564,27,22,8,11,3,314
8,35,26.9,3.57,46,1712,1529,164,348,74,9,28,151,45,7,150,332,0.228,0.3,0.343,0.642,81,524,32,14,4,15,15,314
9,40,29.5,4.43,47,1757,1588,208,409,100,4,37,198,14,5,132,404,0.258,0.317,0.395,0.712,84,628,40,14,3,19,1,310
10,34,27.2,3.57,44,1654,1497,157,340,71,2,37,152,25,8,133,393,0.227,0.295,0.351,0.646,81,526,27,14,2,7,4,317
11,31,28.5,4.37,46,1716,1533,201,375,79,3,40,192,28,9,144,371,0.245,0.315,0.378,0.694,91,580,33,20,3,13,5,308
12,36,26.9,3.85,48,1764,1599,185,365,82,11,46,177,31,7,127,426,0.228,0.291,0.38,0.671,84,607,25,20,3,14,5,298
13,38,29,4.98,48,1837,1640,239,429,69,5,60,235,22,8,146,410,0.262,0.329,0.42,0.748,104,688,41,27,0,19,3,329
14,38,30.7,5.42,48,1845,1594,260,370,91,10,76,253,27,7,210,428,0.232,0.324,0.445,0.769,106,709,17,17,0,20,7,327
15,39,29.6,3.49,47,1719,1574,164,392,72,6,43,155,40,10,116,402,0.249,0.304,0.384,0.689,89,605,44,12,8,7,8,310
16,39,27.5,4.2,46,1696,1510,193,361,58,2,56,185,37,9,158,423,0.239,0.314,0.391,0.706,95,591,43,13,2,11,3,292
17,39,28.7,4.66,47,1792,1591,219,369,77,7,63,209,16,6,164,458,0.232,0.312,0.408,0.72,99,649,30,24,5,8,5,321
18,41,29.9,4.31,48,1806,1589,207,387,67,3,54,199,31,6,170,358,0.244,0.325,0.391,0.716,99,622,28,28,4,15,2,342
19,39,28.9,4.61,49,1801,1611,226,381,60,7,73,218,37,13,161,405,0.236,0.31,0.418,0.728,100,674,31,15,2,12,4,287
20,43,27.9,3.67,48,1820,1611,176,366,65,6,53,170,47,11,161,452,0.227,0.307,0.374,0.68,95,602,33,27,11,8,7,342
21,35,28.6,4.3,46,1738,1573,198,409,90,10,48,189,30,8,136,416,0.26,0.322,0.421,0.744,105,663,29,14,3,11,5,330
22,37,28.4,4.41,46,1734,1520,203,369,89,10,42,193,50,18,172,388,0.243,0.323,0.397,0.72,98,604,27,16,9,17,1,317
23,35,29.3,3.87,47,1752,1527,182,339,81,4,50,172,27,8,192,415,0.222,0.312,0.379,0.691,94,578,36,13,7,10,5,327
24,38,27.9,4.39,46,1735,1542,202,349,77,4,48,193,29,12,156,449,0.226,0.306,0.375,0.68,93,578,31,25,1,11,1,301
25,39,29,4.37,46,1733,1546,201,373,63,3,65,198,26,8,149,443,0.241,0.316,0.412,0.728,99,637,28,24,4,9,2,321
26,36,27.9,5.1,48,1853,1656,245,435,85,4,67,237,37,7,170,391,0.263,0.335,0.44,0.775,113,729,36,13,4,8,9,337
27,38,27,6.04,48,1843,1632,290,443,90,5,91,279,52,15,165,403,0.271,0.347,0.5,0.847,138,816,31,31,1,14,1,312
28,34,28.3,6.46,46,1799,1594,297,434,94,5,63,287,30,9,157,414,0.272,0.342,0.456,0.799,119,727,24,23,5,19,2,300
29,30,28.9,4.55,47,1823,1633,214,420,90,2,50,201,39,10,162,386,0.257,0.329,0.407,0.736,106,664,33,17,2,9,4,357
30,33,26.9,4.11,47,1764,1598,193,421,73,7,34,184,24,8,125,335,0.263,0.324,0.382,0.706,100,610,42,23,8,9,0,332
