Team_ID,PA,BIP,BA,xBA,est_ba_minus_ba_diff,SLG,xSLG,est_slg_minus_slg_diff,wOBA,xwOBA,est_woba_minus_woba_diff,R/G
1,3807,2617,0.266,0.268,-0.002,0.487,0.494,-0.007,0.352,0.358,-0.006,5.54
2,3927,2746,0.258,0.244,0.014,0.432,0.393,0.0389999999999999,0.329,0.313,0.016,4.96
3,3853,2636,0.25,0.25,0.0,0.42,0.415,0.005,0.32,0.322,-0.002,4.88
4,3903,2695,0.266,0.249,0.017,0.437,0.417,0.02,0.334,0.324,0.01,5.06
5,3887,2546,0.253,0.246,0.007,0.408,0.398,0.0099999999999999,0.323,0.321,0.002,4.91
6,3974,2614,0.252,0.242,0.01,0.412,0.383,0.0289999999999999,0.325,0.313,0.012,4.20
7,3857,2820,0.253,0.262,-0.009,0.386,0.389,-0.003,0.305,0.314,-0.009,4.84
8,3803,2547,0.253,0.244,0.009,0.406,0.395,0.011,0.312,0.309,0.003,4.20
9,3859,2650,0.238,0.241,-0.003,0.389,0.387,0.002,0.297,0.3,-0.003,4.38
10,3788,2551,0.232,0.242,-0.0099999999999999,0.369,0.4,-0.031,0.293,0.311,-0.018,3.93
11,3899,2716,0.248,0.249,-0.001,0.412,0.419,-0.007,0.317,0.324,-0.007,4.70
12,3811,2583,0.233,0.247,-0.0139999999999999,0.376,0.41,-0.0339999999999999,0.291,0.314,-0.023,3.68
13,3880,2548,0.256,0.249,0.007,0.447,0.437,0.01,0.336,0.335,0.001,5.02
14,3968,2595,0.247,0.253,-0.006,0.454,0.458,-0.004,0.339,0.348,-0.0089999999999999,5.64
15,3853,2717,0.263,0.257,0.006,0.398,0.402,-0.004,0.312,0.314,-0.002,4.10
16,3814,2468,0.232,0.236,-0.0039999999999999,0.376,0.385,-0.009,0.303,0.312,-0.009,4.11
17,3943,2463,0.237,0.237,0.0,0.414,0.422,-0.008,0.317,0.322,-0.005,4.39
18,3783,2572,0.237,0.247,-0.01,0.4,0.418,-0.0179999999999999,0.314,0.328,-0.014,4.44
19,3733,2546,0.23,0.244,-0.0139999999999999,0.404,0.427,-0.0229999999999999,0.306,0.324,-0.018,4.37
20,3860,2497,0.221,0.219,0.002,0.355,0.355,0.0,0.29,0.292,-0.002,3.54
21,3884,2610,0.256,0.247,0.009,0.415,0.405,0.0099999999999999,0.318,0.315,0.003,4.49
22,3809,2528,0.236,0.239,-0.003,0.385,0.39,-0.005,0.306,0.314,-0.008,4.13
23,3925,2592,0.235,0.239,-0.004,0.409,0.41,-0.001,0.32,0.327,-0.007,4.51
24,3853,2439,0.232,0.242,-0.0099999999999999,0.396,0.416,-0.0199999999999999,0.31,0.325,-0.015,4.53
25,3908,2529,0.241,0.242,-0.001,0.399,0.411,-0.0119999999999999,0.313,0.321,-0.008,4.54
26,3972,2696,0.258,0.261,-0.003,0.432,0.442,-0.01,0.332,0.34,-0.008,4.80
27,3930,2645,0.255,0.245,0.01,0.444,0.412,0.032,0.333,0.322,0.011,5.19
28,4031,2763,0.275,0.265,0.01,0.463,0.455,0.008,0.347,0.344,0.003,5.87
29,3948,2739,0.262,0.258,0.004,0.418,0.425,-0.007,0.327,0.331,-0.004,4.55
30,3831,2809,0.261,0.25,0.011,0.403,0.388,0.015,0.315,0.307,0.008,4.32
