Team_ID,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1,41,27.3,4.87,94,3566,3176,458,817,178,18,106,433,94,14,312,727,0.257,0.326,0.425,0.751,105,1349,70,27,19,28,6,632
2,42,27.9,5.59,92,3520,3152,514,850,157,9,173,495,74,12,311,756,0.27,0.339,0.49,0.829,120,1544,78,33,0,22,10,604
3,43,27.4,4.98,92,3490,3114,458,791,168,15,112,444,65,17,306,759,0.254,0.324,0.425,0.749,109,1325,62,29,11,28,7,606
4,47,28.8,5.04,94,3606,3232,474,856,214,13,104,454,62,14,297,768,0.265,0.333,0.436,0.768,104,1408,69,43,7,22,7,655
5,40,28.5,4.65,92,3525,3110,428,768,136,16,100,413,71,19,334,849,0.247,0.326,0.397,0.723,96,1236,56,43,9,27,6,660
6,45,27.9,4.17,95,3549,3241,396,773,161,9,106,385,54,14,232,837,0.239,0.296,0.392,0.688,88,1270,67,41,11,19,14,607
7,51,27.1,4.86,94,3620,3185,457,805,164,19,99,440,113,25,345,849,0.253,0.333,0.409,0.743,96,1304,61,52,15,23,4,666
8,41,26.8,4.02,93,3512,3174,374,794,169,19,64,348,75,19,277,660,0.25,0.314,0.376,0.69,93,1193,68,29,6,26,25,653
9,48,28.9,4.37,94,3504,3179,411,805,184,13,89,393,35,13,259,854,0.253,0.313,0.403,0.716,85,1282,79,31,5,29,5,606
10,43,27.7,3.88,92,3451,3114,357,716,138,15,87,346,44,13,292,828,0.23,0.298,0.368,0.666,85,1145,61,20,5,19,5,629
11,36,28.6,4.73,94,3567,3192,445,800,158,7,115,428,67,18,301,737,0.251,0.32,0.413,0.733,103,1317,76,36,9,24,10,628
12,47,26.5,3.7,94,3454,3131,348,727,149,23,82,333,80,25,240,847,0.232,0.294,0.373,0.667,84,1168,51,45,8,29,6,597
13,52,28.9,4.99,94,3611,3203,469,825,149,14,142,451,46,17,321,844,0.258,0.332,0.446,0.778,111,1428,80,49,3,30,9,654
14,48,30.8,5.5,92,3582,3110,506,755,165,14,151,489,54,13,382,813,0.243,0.33,0.45,0.781,108,1401,37,45,1,40,16,652
15,44,29.8,4.18,95,3554,3224,397,851,152,12,88,377,56,16,260,761,0.264,0.323,0.4,0.723,98,1291,99,30,15,22,14,655
16,51,27.4,4.17,94,3491,3093,392,717,130,10,101,377,76,20,334,869,0.232,0.312,0.378,0.69,89,1170,74,37,3,21,7,615
17,42,28.7,4.26,94,3541,3153,400,735,156,10,120,380,46,9,313,949,0.233,0.311,0.403,0.714,96,1271,67,51,9,15,7,644
18,47,29.7,4.39,93,3482,3075,408,730,122,14,115,397,74,7,306,737,0.237,0.317,0.398,0.715,99,1225,69,64,9,25,4,620
19,44,29.1,4.41,94,3443,3093,415,716,128,12,131,398,56,20,291,752,0.231,0.301,0.408,0.709,95,1261,69,29,6,24,12,542
20,52,27.9,3.62,95,3546,3138,344,697,126,14,88,331,96,19,310,876,0.222,0.301,0.355,0.656,88,1115,68,52,18,22,8,635
21,38,28.6,4.58,93,3560,3217,426,833,176,18,105,409,74,14,280,850,0.259,0.322,0.423,0.745,103,1360,58,31,5,24,13,663
22,46,28.1,4.17,93,3477,3069,388,730,164,17,83,369,82,30,324,797,0.238,0.315,0.384,0.698,90,1177,57,34,18,31,2,627
23,43,29,4.5,94,3577,3110,423,729,165,7,117,403,74,20,392,803,0.234,0.324,0.405,0.729,104,1259,70,32,13,27,10,665
24,43,27.8,4.46,92,3478,3082,410,711,159,7,104,395,62,19,315,901,0.231,0.311,0.388,0.699,97,1196,55,55,1,24,6,623
25,44,28.7,4.66,93,3555,3157,433,779,156,8,107,421,45,12,315,878,0.247,0.323,0.403,0.725,99,1272,59,49,10,23,8,662
26,41,27.7,4.7,93,3573,3181,437,815,156,8,128,423,56,22,315,779,0.256,0.33,0.431,0.761,107,1371,70,46,8,20,11,664
27,46,26.9,5.42,96,3615,3227,520,835,172,15,142,497,112,30,310,824,0.259,0.33,0.453,0.784,118,1463,59,47,5,26,3,596
28,39,28.3,5.86,94,3688,3296,551,907,211,9,129,529,50,13,324,799,0.275,0.343,0.462,0.805,119,1523,52,31,6,30,8,672
29,36,28.9,4.56,94,3582,3230,429,846,175,9,105,406,68,24,296,743,0.262,0.329,0.419,0.748,109,1354,77,35,2,19,5,663
30,39,27,4.19,93,3495,3190,390,829,164,18,81,370,56,16,233,659,0.26,0.317,0.399,0.716,100,1272,75,42,9,20,1,629
