Team_ID,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
1,26,30.0,4.14,64,36,.640,3.81,100,100,99,1,8,1,33,889.0,819,414,376,108,311,6,934,45,6,36,3755,119,3.96,1.271,8.3,1.1,3.1,9.5,3.00,682
2,26,28.5,4.91,55,48,.534,4.67,103,103,103,0,6,0,26,911.1,884,506,473,128,342,8,834,28,6,32,3888,92,4.50,1.345,8.7,1.3,3.4,8.2,2.44,654
3,25,28.5,4.43,62,40,.608,4.19,102,102,102,0,4,0,34,915.0,874,452,426,117,314,11,924,41,7,44,3880,101,4.09,1.298,8.6,1.2,3.1,9.1,2.94,697
4,28,30.5,4.58,55,47,.539,4.29,102,102,102,0,2,0,29,901.0,871,467,429,129,292,8,878,47,3,33,3834,110,4.33,1.291,8.7,1.3,2.9,8.8,3.01,670
5,22,30.0,4.44,50,51,.495,4.13,101,101,100,1,10,1,17,894.0,823,448,410,107,315,3,832,38,5,27,3773,108,4.16,1.273,8.3,1.1,3.2,8.4,2.64,652
6,24,29.7,5.01,41,62,.398,4.65,103,103,103,0,4,0,18,915.0,854,516,473,145,407,9,987,55,8,37,4000,95,4.70,1.378,8.4,1.4,4.0,9.7,2.43,759
7,33,27.8,4.89,56,48,.538,4.69,104,104,104,0,4,0,39,927.1,930,509,483,138,391,8,878,53,4,31,4061,102,4.76,1.425,9.0,1.3,3.8,8.5,2.25,783
8,25,26.1,4.14,51,51,.500,3.84,102,102,101,1,10,0,30,915.1,839,422,391,102,316,5,815,31,3,37,3859,109,4.09,1.262,8.2,1.0,3.1,8.0,2.58,712
9,29,29.9,5.75,40,62,.392,5.48,102,102,102,0,4,0,22,889.2,968,586,542,141,374,9,722,42,6,33,3938,92,5.12,1.508,9.8,1.4,3.8,7.3,1.93,689
10,27,28.2,4.76,46,55,.455,4.41,101,101,101,0,8,0,23,902.2,831,481,442,118,288,7,842,34,3,34,3796,99,4.19,1.240,8.3,1.2,2.9,8.4,2.92,625
11,20,28.7,4.22,58,45,.563,3.81,103,103,102,1,5,1,32,920.2,841,435,390,121,332,6,945,49,3,28,3875,111,4.18,1.274,8.2,1.2,3.2,9.2,2.85,692
12,29,29.8,5.38,29,75,.279,5.27,104,104,103,1,4,0,14,902.1,920,559,528,126,370,5,804,36,5,44,3943,84,4.67,1.430,9.2,1.3,3.7,8.0,2.17,681
13,29,28.2,4.83,52,49,.515,4.44,101,101,101,0,6,0,32,895.0,850,488,442,123,372,24,928,58,4,44,3899,101,4.44,1.365,8.5,1.2,3.7,9.3,2.49,737
14,32,27.7,4.68,58,43,.574,4.47,101,101,101,0,10,0,24,899.2,838,473,447,112,307,13,859,48,4,29,3806,100,4.18,1.273,8.4,1.1,3.1,8.6,2.80,648
15,26,27.3,4.28,55,48,.534,4.08,103,103,101,2,7,1,28,913.1,843,441,414,114,308,16,971,42,5,18,3843,107,3.93,1.260,8.3,1.1,3.0,9.6,3.15,675
16,30,29.3,4.14,57,46,.553,3.89,103,103,103,0,12,0,34,915.2,802,426,396,124,315,4,876,48,6,30,3835,111,4.32,1.220,7.9,1.2,3.1,8.6,2.78,672
17,24,28.5,4.00,54,50,.519,3.80,104,104,102,2,8,2,23,933.0,804,416,394,116,291,15,1006,35,1,26,3849,115,3.79,1.174,7.8,1.1,2.8,9.7,3.46,655
18,29,32.8,4.56,47,54,.465,4.37,101,101,100,1,5,0,23,880.2,822,461,428,129,371,6,864,52,3,38,3793,95,4.67,1.355,8.4,1.3,3.8,8.8,2.33,697
19,25,29.1,4.26,54,48,.529,3.89,102,102,100,2,6,2,30,910.1,799,435,393,122,337,3,895,56,11,30,3857,110,4.36,1.248,7.9,1.2,3.3,8.8,2.66,705
20,33,28.2,6.08,28,76,.269,5.87,104,104,104,0,2,0,17,915.0,951,632,597,146,443,19,833,64,0,46,4120,70,5.20,1.523,9.4,1.4,4.4,8.2,1.88,759
21,22,29.7,4.39,55,47,.539,4.04,102,102,102,0,2,0,29,905.1,829,448,406,112,292,4,923,32,5,27,3801,107,3.93,1.238,8.2,1.1,2.9,9.2,3.16,651
22,24,28.5,4.84,45,57,.441,4.52,102,102,101,1,7,1,26,896.0,870,494,450,114,362,15,847,50,5,31,3911,99,4.43,1.375,8.7,1.1,3.6,8.5,2.34,736
23,26,30.5,4.02,49,54,.476,3.78,103,103,103,0,9,0,26,915.1,809,414,384,117,341,5,896,49,5,32,3837,109,4.27,1.256,8.0,1.2,3.4,8.8,2.63,690
24,29,27.8,4.25,52,50,.510,3.87,102,102,100,2,9,1,25,912.1,820,433,392,115,267,12,935,29,1,29,3788,106,3.85,1.191,8.1,1.1,2.6,9.2,3.50,636
25,23,30.4,4.31,56,47,.544,3.97,103,103,101,2,9,2,39,914.2,881,444,403,108,268,11,888,49,9,38,3857,109,3.92,1.256,8.7,1.1,2.6,8.7,3.31,681
26,24,29.8,4.97,46,57,.447,4.57,103,103,103,0,7,0,24,907.1,977,512,461,99,348,3,827,42,6,44,4007,93,4.17,1.460,9.7,1.0,3.5,8.2,2.38,782
27,33,28.2,3.85,62,43,.590,3.70,105,105,105,0,10,0,28,928.2,782,404,382,108,313,8,945,42,1,41,3854,112,3.91,1.179,7.6,1.0,3.0,9.2,3.02,670
28,26,30.2,4.35,60,43,.583,4.19,103,103,100,3,7,1,19,911.2,828,448,424,118,301,10,822,38,2,23,3796,105,4.28,1.238,8.2,1.2,3.0,8.1,2.73,620
